Appleton East,0.48,0.63,0.546,0.481,0.532
Appleton North,0.4,0.606,0.537,0.467,0.533
Appleton West,0.231,0.613,0.568,0.454,0.554
Arrowhead,0.857,0.565,0.57,0.506,0.568
Badger,0.615,0.511,0.537,0.464,0.514
Bay Port,0.56,0.558,0.568,0.451,0.545
Beloit Memorial,0.24,0.51,0.553,0.264,0.508
Brookfield Central,0.292,0.66,0.577,0.452,0.58
Brookfield East,0.929,0.596,0.576,0.568,0.571
Chippewa Falls,0.12,0.563,0.571,0.224,0.554
D.C. Everest,0.16,0.555,0.594,0.337,0.563
De Pere,0.591,0.503,0.561,0.382,0.535
Divine Savior Holy Angels,0.615,0.612,0.576,0.509,0.578
Eau Claire Memorial,0.769,0.577,0.588,0.544,0.588
Eau Claire North,0.5,0.519,0.587,0.367,0.584
Fond du Lac,0.577,0.587,0.571,0.469,0.578
Franklin,0.929,0.504,0.556,0.49,0.546
Germantown,0.821,0.599,0.567,0.538,0.561
Green Bay East,0.083,0.45,0.544,0.211,0.527
Green Bay Preble,0.48,0.522,0.56,0.489,0.576
Greenfield,0.64,0.582,0.533,0.458,0.526
Hamilton,0.4,0.62,0.598,0.528,0.592
Hartford,0.731,0.535,0.576,0.444,0.579
Homestead,0.885,0.533,0.571,0.491,0.574
Hudson,0.864,0.592,0.576,0.56,0.577
Janesville Craig,0.808,0.477,0.552,0.395,0.542
Janesville Parker,0.25,0.536,0.545,0.308,0.569
Kenosha Bradford,0.778,0.532,0.538,0.45,0.525
Kenosha Indian Trail,0.462,0.518,0.524,0.369,0.535
Kenosha Tremper,0.64,0.492,0.522,0.432,0.514
Kettle Moraine,0.963,0.574,0.556,0.559,0.555
Kimberly,0.607,0.634,0.569,0.529,0.572
Madison East,0.417,0.537,0.566,0.335,0.539
Madison La Follette,0.609,0.521,0.564,0.355,0.541
Madison Memorial,0.32,0.544,0.595,0.653,0.633
Madison West,0.125,0.525,0.528,0.439,0.501
Manitowoc Lincoln,0.423,0.488,0.526,0.402,0.514
Marshfield,0.808,0.559,0.572,0.505,0.565
Menomonee Falls,0.739,0.532,0.556,0.439,0.544
Middleton,0.56,0.503,0.581,0.326,0.565
Milwaukee King,0.696,0.434,0.528,0.386,0.51
Milwaukee Riverside,0.227,0.486,0.536,0.113,0.475
Milwaukee Reagan,0.5,0.508,0.533,0.369,0.474
Milwaukee South,0.609,0.395,0.46,0.305,0.419
Milwaukee Vincent,0.062,0.484,0.509,0.48,0.441
Mukwonago,0.261,0.567,0.546,0.366,0.503
Muskego,0.538,0.585,0.554,0.418,0.535
Neenah,0.964,0.609,0.565,0.599,0.565
Oak Creek,0.704,0.605,0.568,0.478,0.564
Oconomowoc,0.462,0.567,0.552,0.394,0.557
Oshkosh North,0.4,0.582,0.548,0.478,0.547
Oshkosh West,0.68,0.539,0.556,0.412,0.542
Racine Case,0.292,0.584,0.522,0.339,0.52
Racine Horlick,0.115,0.522,0.53,0.512,0.584
Racine Park,0.292,0.544,0.516,0.528,0.489
Sheboygan North,0.609,0.514,0.574,0.394,0.553
Sheboygan South,0.154,0.535,0.529,0.388,0.528
Stevens Point,0.731,0.533,0.576,0.473,0.574
Sun Prairie East,0.44,0.51,0.569,0.319,0.565
Superior,0.909,0.602,0.548,0.581,0.54
Verona,0.926,0.532,0.572,0.503,0.576
Watertown,0.692,0.578,0.547,0.493,0.524
Waukesha South,0.062,0.486,0.545,0.167,0.566
Waukesha West,0.885,0.576,0.55,0.561,0.553
Wausau West,0.667,0.577,0.601,0.479,0.601
West Allis Central,0.28,0.528,0.53,0.319,0.498
West Allis Hale,0.269,0.537,0.578,0.39,0.581
Wisconsin Rapids,0.308,0.557,0.57,0.354,0.571
Antigo,0.522,0.494,0.541,0.31,0.485
Ashland,0.4,0.51,0.565,0.288,0.534
Ashwaubenon,0.385,0.561,0.563,0.464,0.54
Baraboo,0.478,0.534,0.546,0.346,0.549
Beaver Dam,0.885,0.589,0.545,0.603,0.542
Brown Deer,0.44,0.57,0.526,0.447,0.514
Burlington,0.56,0.472,0.536,0.431,0.533
Catholic Memorial,0.48,0.618,0.553,0.452,0.526
Cedarburg,0.821,0.526,0.541,0.454,0.541
Cudahy,0.0,0.0,0.0,0.0,0.0
DeForest,0.696,0.588,0.562,0.499,0.558
Delavan-Darien,0.6,0.513,0.541,0.425,0.539
Elkhorn,0.654,0.475,0.559,0.456,0.544
Fort Atkinson,0.304,0.534,0.562,0.394,0.536
Grafton,0.667,0.593,0.557,0.509,0.549
Green Bay Southwest,0.64,0.517,0.562,0.395,0.539
Green Bay West,0.0,0.083,0.434,0.0,0.0
Greendale,0.5,0.551,0.551,0.355,0.549
Holmen,0.6,0.537,0.59,0.41,0.56
Hortonville,0.893,0.634,0.57,0.646,0.57
Jefferson,0.5,0.518,0.543,0.366,0.53
Kaukauna,0.741,0.587,0.575,0.56,0.575
Kewaskum,0.815,0.614,0.573,0.569,0.571
La Crosse Central,0.5,0.576,0.57,0.444,0.566
La Crosse Logan,0.36,0.57,0.566,0.331,0.561
Lakeland,0.786,0.51,0.571,0.428,0.555
Luxemburg-Casco,0.48,0.513,0.562,0.354,0.545
Marinette,0.68,0.511,0.547,0.507,0.529
McFarland,0.929,0.547,0.566,0.523,0.573
Medford,0.28,0.484,0.562,0.228,0.538
Menasha,0.68,0.517,0.558,0.43,0.566
Menomonie,0.714,0.542,0.555,0.464,0.547
Merrill,0.615,0.513,0.544,0.408,0.533
Messmer,0.125,0.53,0.498,0.524,0.522
Milton,0.28,0.524,0.561,0.263,0.548
Milwaukee Lutheran,0.167,0.552,0.536,0.511,0.634
Milwaukee Madison,0.278,0.459,0.495,0.267,0.496
Milwaukee North,0.824,0.423,0.439,0.392,0.439
Monona Grove,0.846,0.583,0.556,0.543,0.566
Monroe,0.2,0.52,0.57,0.623,0.599
Mosinee,0.6,0.519,0.554,0.408,0.517
Mount Horeb,0.318,0.549,0.571,0.301,0.544
New Berlin Eisenhower,0.654,0.617,0.557,0.501,0.564
New Berlin West,0.72,0.637,0.56,0.552,0.548
