Team,WP,OWP,DOWP,OOWP,DOOWP,Division,Sectional,Seed,Year
Abbotsford,0.61905,0.47606,0.4661,0.52545,0.52399,4,1B,5,2023
Abundant Life Christian/St. Ambrose,0.52632,0.37429,0.36486,0.46961,0.47386,5,4A,8,2023
Adams-Friendship,0.33333,0.52194,0.5393,0.51309,0.50857,3,1B,6,2023
Albany,1.0,0.41549,0.39612,0.49651,0.49489,5,4A,1,2023
Algoma,0.43478,0.51233,0.48696,0.48523,0.48236,4,2B,9,2023
Alma Center Lincoln,0.95238,0.44671,0.38338,0.51219,0.51179,5,3A,3,2023
Alma/Pepin,0.42857,0.48506,0.47765,0.48786,0.49608,5,3A,10,2023
Almond-Bancroft,0.86364,0.36387,0.35758,0.46772,0.45647,5,2A,5,2023
Altoona,0.61905,0.58696,0.60231,0.54685,0.54856,3,1B,3,2023
Amery,0.63636,0.50278,0.50278,0.52447,0.5253,3,1A,4,2023
Amherst,0.36364,0.57436,0.5942,0.52918,0.5197,3,2A,5,2023
Antigo,0.5,0.47287,0.48767,0.51012,0.50892,2,1B,6,2023
Appleton East,0.47826,0.61838,0.61538,0.54495,0.54526,1,1A,10,2023
Appleton North,0.3913,0.56497,0.55255,0.54299,0.54407,1,1A,12,2023
Appleton West,0.18182,0.57105,0.57605,0.54915,0.55468,1,1A,15,2023
Aquinas,0.95455,0.6046,0.59569,0.55052,0.55788,4,3A,1,2023
Arcadia,0.36364,0.49242,0.49242,0.52193,0.52193,3,1B,7,2023
Argyle,0.09091,0.5198,0.52646,0.47743,0.47729,5,3B,15,2023
Arrowhead,0.81818,0.5612,0.54743,0.5524,0.54914,1,3A,2,2023
Ashland,0.40909,0.45748,0.47649,0.49496,0.49335,2,1B,7,2023
Ashwaubenon,0.36364,0.5584,0.53398,0.50703,0.50432,2,2A,7,2023
Assumption,0.85714,0.55305,0.57218,0.53117,0.53556,5,2A,1,2023
Athens,0.86957,0.45067,0.43532,0.52955,0.53329,5,2A,3,2023
Auburndale,0.63636,0.62683,0.6158,0.53061,0.52737,4,2A,4,2023
