Appleton East,1606,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=49024,"['Green Bay Preble', 'Oak Creek', 'Homestead', 'Oshkosh North', 'Neenah', 'Sheboygan North', 'Appleton West', 'Kaukauna', 'Fond du Lac', 'Milwaukee King', 'Shorewood', 'Oshkosh West', 'Hortonville', 'Kimberly', 'Oshkosh North', 'Appleton North', 'Neenah', 'Kimberly', 'Appleton West', 'Fond du Lac', 'Kaukauna', 'Oshkosh West', 'Appleton North', 'Hortonville', 'Wausau West']","['72-55', '47-56', '65-75', '73-61', '54-75', '64-49', '73-61', '69-86', '64-63', '70-51', '50-57', '54-56', '42-76', '63-65', '68-34', '52-44', '57-82', '58-59', '86-51', '62-74', '76-86', '52-38', '57-45', '46-82', '73-70']","['W 72-55', 'L 47-56', 'L 65-75', 'W 73-61', 'L 54-75', 'W 64-49', 'W 73-61', 'L 69-86', 'W 64-63', 'W 70-51', 'L 50-57', 'L 54-56', 'L 42-76', 'L 63-65', 'W 68-34', 'W 52-44', 'L 57-82', 'L 58-59', 'W 86-51', 'L 62-74', 'L 76-86', 'W 52-38', 'W 57-45', 'L 46-82', 'L 73-70 (1OT)']","['11/22/2022', '11/25/2022', '11/26/2022', '11/29/2022', '12/02/2022', '12/06/2022', '12/09/2022', '12/13/2022', '12/16/2022', '12/28/2022', '12/29/2022', '01/03/2023', '01/06/2023', '01/10/2023', '01/13/2023', '01/17/2023', '01/20/2023', '01/24/2023', '01/27/2023', '01/31/2023', '02/03/2023', '02/07/2023', '02/10/2023', '02/16/2023', '02/24/2023']"
Appleton North,1736,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=49025,"['Seymour', 'De Pere', 'Kimberly', 'Kaukauna', 'Stevens Point Area Senior High', 'Neenah', 'Oshkosh North', 'Appleton West', 'Pulaski', 'Fond du Lac', 'Oshkosh West', 'Hortonville', 'Kimberly', 'West De Pere', 'Appleton East', 'Kaukauna', 'Hortonville', 'Neenah', 'Appleton West', 'Wautoma', 'Oshkosh North', 'Fond du Lac', 'Appleton East', 'Oshkosh West', 'Eau Claire Memorial']","['45-35', '46-29', '40-60', '59-61', '42-41', '32-64', '49-42', '61-33', '47-34', '40-57', '35-54', '33-73', '63-62', '40-44', '44-52', '39-46', '33-52', '58-67', '56-41', '50-33', '19-22', '32-45', '45-57', '37-43', '64-58']","['W 45-35', 'W 46-29', 'L 40-60', 'L 59-61', 'W 42-41', 'L 32-64', 'W 49-42', 'W 61-33', 'W 47-34', 'L 40-57', 'L 35-54', 'L 33-73', 'W 63-62 (1OT)', 'L 40-44', 'L 44-52', 'L 39-46', 'L 33-52', 'L 58-67', 'W 56-41', 'W 50-33', 'L 19-22', 'L 32-45', 'L 45-57', 'L 37-43', 'L 64-58']","['11/18/2022', '11/22/2022', '11/29/2022', '12/02/2022', '12/03/2022', '12/09/2022', '12/13/2022', '12/16/2022', '12/29/2022', '01/03/2023', '01/06/2023', '01/10/2023', '01/13/2023', '01/16/2023', '01/17/2023', '01/20/2023', '01/24/2023', '01/27/2023', '01/31/2023', '02/03/2023', '02/04/2023', '02/07/2023', '02/10/2023', '02/16/2023', '02/24/2023']"
Appleton West,1370,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=49026,"['Stevens Point Area Senior High', 'West Bend West', 'Manitowoc Lincoln', 'Kaukauna', 'Fond du Lac', 'Appleton East', 'Coleman', 'Neenah', 'Appleton North', 'Oshkosh West', 'Hortonville', 'Kimberly', 'Oshkosh North', 'Kaukauna', 'Green Bay Southwest', 'Fond du Lac', 'Oshkosh North', 'Appleton East', 'Appleton North', 'Neenah', 'Hortonville', 'Oshkosh West', 'Wausau West', 'Kimberly', 'Chippewa Falls', 'Superior']","['60-77', '76-59', '83-62', '54-82', '34-78', '61-73', '68-70', '28-85', '33-61', '30-61', '59-94', '36-51', '27-66', '46-43', '61-66', '60-71', '67-63', '51-86', '41-56', '43-68', '40-67', '52-57', '42-50', '45-55', '86-43', '78-53']","['L 60-77', 'W 76-59', 'W 83-62', 'L 54-82', 'L 34-78', 'L 61-73', 'L 68-70 (1OT)', 'L 28-85', 'L 33-61', 'L 30-61', 'L 59-94', 'L 36-51', 'L 27-66', 'W 46-43', 'L 61-66', 'L 60-71', 'W 67-63', 'L 51-86', 'L 41-56', 'L 43-68', 'L 40-67', 'L 52-57', 'L 42-50', 'L 45-55', 'W 86-43', 'L 78-53']","['11/15/2022', '11/17/2022', '11/26/2022', '11/29/2022', '12/02/2022', '12/09/2022', '12/10/2022', '12/13/2022', '12/16/2022', '12/20/2022', '01/03/2023', '01/06/2023', '01/10/2023', '01/13/2023', '01/16/2023', '01/20/2023', '01/24/2023', '01/27/2023', '01/31/2023', '02/02/2023', '02/07/2023', '02/10/2023', '02/13/2023', '02/16/2023', '02/21/2023', '02/24/2023']"
Arrowhead,2070,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=49027,"['Oak Creek', 'Waterford', 'Divine Savior Holy Angels', 'Waukesha South', 'Kettle Moraine', 'Waukesha North', 'Muskego', 'Oconomowoc', 'Homestead', 'Waukesha West', 'Catholic Memorial', 'Edgewood', 'Mukwonago', 'Waukesha North', 'Milwaukee King', 'Whitefish Bay', 'Oconomowoc', 'Kettle Moraine', 'Xavier', 'Waukesha West', 'Muskego', 'Germantown', 'Mukwonago', 'Catholic Memorial', 'Madison West', 'Oconomowoc', 'Verona', 'Brookfield East']","['59-36', '66-20', '75-41', '60-19', '52-64', '77-24', '58-47', '76-53', '63-59', '51-54', '66-53', '80-54', '55-33', '81-31', '79-51', '68-40', '75-49', '52-56', '81-62', '46-57', '67-46', '81-68', '74-36', '76-66', '74-14', '63-43', '72-57', '53-33']","['W 59-36', 'W 66-20', 'W 75-41', 'W 60-19', 'L 52-64', 'W 77-24', 'W 58-47', 'W 76-53', 'W 63-59', 'L 51-54', 'W 66-53', 'W 80-54', 'W 55-33', 'W 81-31', 'W 79-51', 'W 68-40', 'W 75-49', 'L 52-56', 'W 81-62', 'L 46-57', 'W 67-46', 'W 81-68', 'W 74-36', 'W 76-66', 'W 74-14', 'W 63-43', 'W 72-57', 'L 53-33']","['11/18/2022', '11/25/2022', '11/26/2022', '11/29/2022', '12/09/2022', '12/13/2022', '12/16/2022', '12/20/2022', '12/29/2022', '01/03/2023', '01/05/2023', '01/11/2023', '01/13/2023', '01/24/2023', '01/27/2023', '01/28/2023', '01/31/2023', '02/02/2023', '02/04/2023', '02/07/2023', '02/10/2023', '02/11/2023', '02/14/2023', '02/17/2023', '02/24/2023', '02/25/2023', '03/02/2023', '03/04/2023']"
Badger,1336,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=49028,"['Kenosha Tremper', 'Kenosha Bradford', 'East Troy', 'Wilmot', 'Burlington', 'Delavan-Darien', 'Union Grove', 'Elkhorn', 'Racine Park', 'South Milwaukee', 'Waterford', 'Westosha Central', 'Catholic Memorial', 'Big Foot', 'Wilmot', 'Burlington', 'Delavan-Darien', 'Union Grove', 'Mukwonago', 'Elkhorn', 'Kenosha Indian Trail', 'Racine Case', 'Waterford', 'Westosha Central', 'Milwaukee Reagan', 'Franklin']","['55-51', '36-74', '50-37', '75-55', '57-60', '58-44', '41-74', '55-47', '81-44', '60-37', '61-41', '31-42', '47-55', '70-24', '69-65', '62-54', '45-50', '33-53', '45-48', '51-46', '61-41', '71-43', '51-52', '42-47', '78-33', '75-44']","['W 55-51', 'L 36-74', 'W 50-37', 'W 75-55', 'L 57-60', 'W 58-44', 'L 41-74', 'W 55-47', 'W 81-44', 'W 60-37', 'W 61-41', 'L 31-42', 'L 47-55', 'W 70-24', 'W 69-65 (1OT)', 'W 62-54', 'L 45-50', 'L 33-53', 'L 45-48', 'W 51-46', 'W 61-41', 'W 71-43', 'L 51-52', 'L 42-47', 'W 78-33', 'L 75-44']","['11/18/2022', '11/22/2022', '11/28/2022', '12/02/2022', '12/06/2022', '12/08/2022', '12/13/2022', '12/15/2022', '12/19/2022', '12/21/2022', '01/10/2023', '01/13/2023', '01/14/2023', '01/16/2023', '01/20/2023', '01/26/2023', '01/31/2023', '02/03/2023', '02/07/2023', '02/10/2023', '02/11/2023', '02/13/2023', '02/14/2023', '02/17/2023', '02/24/2023', '02/25/2023']"
Bay Port,1916,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=49029,"['Kaukauna', 'Fond du Lac', 'West De Pere', 'Sheboygan North', 'Manitowoc Lincoln', 'De Pere', 'Ashwaubenon', 'Neenah', 'Watertown', 'Green Bay Southwest', 'Pulaski', 'Divine Savior Holy Angels', 'Green Bay Preble', 'Sheboygan South', 'Sheboygan North', 'Manitowoc Lincoln', 'De Pere', 'Ashwaubenon', 'Notre Dame', 'Green Bay Southwest', 'Pulaski', 'Green Bay Preble', 'Notre Dame', 'Sheboygan South', 'Fond du Lac']","['51-75', '41-71', '65-58', '56-58', '52-35', '45-30', '54-47', '53-73', '47-55', '59-39', '59-25', '57-71', '69-54', '78-35', '47-59', '70-75', '53-41', '54-41', '39-73', '55-45', '54-27', '58-63', '29-72', '50-30', '64-59']","['L 51-75', 'L 41-71', 'W 65-58', 'L 56-58', 'W 52-35', 'W 45-30', 'W 54-47', 'L 53-73', 'L 47-55', 'W 59-39', 'W 59-25', 'L 57-71', 'W 69-54', 'W 78-35', 'L 47-59', 'L 70-75', 'W 53-41', 'W 54-41', 'L 39-73', 'W 55-45', 'W 54-27', 'L 58-63', 'L 29-72', 'W 50-30', 'L 64-59']","['11/22/2022', '11/26/2022', '11/29/2022', '12/02/2022', '12/08/2022', '12/13/2022', '12/15/2022', '12/20/2022', '12/27/2022', '01/03/2023', '01/06/2023', '01/07/2023', '01/10/2023', '01/13/2023', '01/17/2023', '01/20/2023', '01/24/2023', '01/27/2023', '01/30/2023', '02/03/2023', '02/07/2023', '02/10/2023', '02/14/2023', '02/18/2023', '02/24/2023']"
Beloit Memorial,1630,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=49030,"['Nicolet', 'Sun Prairie West', 'Verona', 'Janesville Craig', 'Madison Memorial', 'Sun Prairie East', 'Milwaukee Vincent', 'Madison East', 'Middleton', 'Madison La Follette', 'Janesville Parker', 'Madison West', 'Milwaukee Academy of Science', 'Sun Prairie West', 'Verona', 'Janesville Craig', 'Madison Memorial', 'Sun Prairie East', 'Madison East', 'Middleton', 'Madison La Follette', 'Janesville Parker', 'Milwaukee Hamilton/Audubon', 'Madison West', 'Franklin']","['61-53', '31-71', '24-112', '52-80', '49-90', '43-82', '62-16', '50-71', '51-90', '64-72', '63-72', '63-35', '46-75', '42-111', '35-92', '34-76', '48-75', '42-45', '45-60', '42-79', '67-78', '56-61', '61-16', '58-48', '86-47']","['W 61-53', 'L 31-71', 'L 24-112', 'L 52-80', 'L 49-90', 'L 43-82', 'W 62-16', 'L 50-71', 'L 51-90', 'L 64-72', 'L 63-72', 'W 63-35', 'L 46-75', 'L 42-111', 'L 35-92', 'L 34-76', 'L 48-75', 'L 42-45', 'L 45-60', 'L 42-79', 'L 67-78', 'L 56-61', 'W 61-16', 'W 58-48', 'L 86-47']","['11/15/2022', '11/17/2022', '11/19/2022', '11/22/2022', '11/29/2022', '12/02/2022', '12/06/2022', '12/08/2022', '12/10/2022', '12/13/2022', '12/16/2022', '01/06/2023', '01/12/2023', '01/14/2023', '01/19/2023', '01/21/2023', '01/24/2023', '01/27/2023', '02/02/2023', '02/04/2023', '02/07/2023', '02/10/2023', '02/13/2023', '02/16/2023', '02/24/2023']"
Brookfield Central,1212,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=49031,"['Greenfield', 'Milwaukee Academy of Science', 'New Berlin Eisenhower', 'Hamilton', 'Waukesha West', 'West Allis Hale', 'Menomonee Falls', 'Brookfield East', 'Wauwatosa West', 'Pewaukee', 'Kimberly', 'Divine Savior Holy Angels', 'Wauwatosa East', 'Germantown', 'Hamilton', 'Franklin', 'West Allis Hale', 'Menomonee Falls', 'Brookfield East', 'Wauwatosa West', 'Divine Savior Holy Angels', 'Wauwatosa East', 'Germantown', 'Oregon']","['55-43', '50-61', '39-52', '59-82', '47-57', '52-43', '66-69', '27-64', '54-46', '41-74', '60-67', '52-57', '36-52', '63-94', '45-33', '49-64', '72-34', '48-68', '18-51', '46-42', '56-72', '55-61', '52-85', '68-54']","['W 55-43', 'L 50-61', 'L 39-52', 'L 59-82', 'L 47-57', 'W 52-43', 'L 66-69 (1OT)', 'L 27-64', 'W 54-46', 'L 41-74', 'L 60-67', 'L 52-57', 'L 36-52', 'L 63-94', 'W 45-33', 'L 49-64', 'W 72-34', 'L 48-68', 'L 18-51', 'W 46-42', 'L 56-72', 'L 55-61', 'L 52-85', 'L 68-54']","['11/25/2022', '11/26/2022', '11/29/2022', '12/02/2022', '12/06/2022', '12/09/2022', '12/13/2022', '12/16/2022', '12/20/2022', '12/28/2022', '12/29/2022', '01/03/2023', '01/06/2023', '01/10/2023', '01/12/2023', '01/20/2023', '01/24/2023', '01/27/2023', '01/31/2023', '02/03/2023', '02/10/2023', '02/14/2023', '02/17/2023', '02/24/2023']"
Brookfield East,1336,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=49032,"['Platteville', 'Waupun', 'Neenah', 'Slinger', 'Divine Savior Holy Angels', 'Wauwatosa East', 'Germantown', 'Hamilton', 'Brookfield Central', 'West Allis Hale', 'Oak Creek', 'Menomonee Falls', 'Wauwatosa West', 'Divine Savior Holy Angels', 'Shorewood', 'Wauwatosa East', 'Germantown', 'Hamilton', 'Pewaukee', 'Brookfield Central', 'West Allis Hale', 'Milwaukee Academy of Science', 'Menomonee Falls', 'Wauwatosa West', 'West Allis Hale', 'Hamilton', 'Oregon', 'Arrowhead']","['57-33', '62-57', '50-64', '61-42', '65-41', '55-49', '75-49', '74-49', '64-27', '48-26', '46-25', '60-49', '58-19', '59-21', '63-43', '73-27', '70-56', '61-33', '44-60', '51-18', '72-41', '68-51', '68-35', '56-18', '79-31', '68-35', '57-27', '53-33']","['W 57-33', 'W 62-57', 'L 50-64', 'W 61-42', 'W 65-41', 'W 55-49', 'W 75-49', 'W 74-49', 'W 64-27', 'W 48-26', 'W 46-25', 'W 60-49', 'W 58-19', 'W 59-21', 'W 63-43', 'W 73-27', 'W 70-56', 'W 61-33', 'L 44-60', 'W 51-18', 'W 72-41', 'W 68-51', 'W 68-35', 'W 56-18', 'W 79-31', 'W 68-35', 'W 57-27', 'W 53-33']","['11/18/2022', '11/19/2022', '11/26/2022', '11/29/2022', '12/02/2022', '12/06/2022', '12/09/2022', '12/13/2022', '12/16/2022', '12/20/2022', '12/21/2022', '01/03/2023', '01/10/2023', '01/12/2023', '01/16/2023', '01/20/2023', '01/24/2023', '01/27/2023', '01/28/2023', '01/31/2023', '02/03/2023', '02/08/2023', '02/10/2023', '02/17/2023', '02/24/2023', '02/25/2023', '03/02/2023', '03/04/2023']"
Chippewa Falls,1485,https://schools.wiaawi.org/Directory/Schedule/Index?TeamID=49033,"['Wausau West', 'D.C. Everest', 'Rice Lake', 'Hudson', 'Eau Claire North', 'Menomonie', 'River Falls', 'Onalaska', 'Holmen', 'New Richmond', 'Wisconsin Rapids Lincoln', 'Eau Claire Memorial', 'Superior', 'Stevens Point Area Senior High', 'River Falls', 'La Crosse Logan', 'Hudson', 'Rice Lake', 'Eau Claire North', 'Marshfield', 'Menomonie', 'New Richmond', 'Medford', 'Eau Claire Memorial', 'Appleton West']","['56-73', '68-45', '42-64', '43-69', '50-65', '41-49', '46-58', '38-46', '43-59', '49-64', '42-59', '24-81', '39-93', '46-67', '41-51', '39-72', '29-59', '35-50', '35-59', '26-82', '40-79', '38-72', '47-44', '27-73', '86-43']","['L 56-73', 'W 68-45', 'L 42-64', 'L 43-69', 'L 50-65', 'L 41-49', 'L 46-58', 'L 38-46', 'L 43-59', 'L 49-64', 'L 42-59', 'L 24-81', 'L 39-93', 'L 46-67', 'L 41-51', 'L 39-72', 'L 29-59', 'L 35-50', 'L 35-59', 'L 26-82', 'L 40-79', 'L 38-72', 'W 47-44', 'L 27-73', 'L 86-43']","['11/17/2022', '11/22/2022', '12/02/2022', '12/05/2022', '12/08/2022', '12/13/2022', '12/20/2022', '12/29/2022', '01/05/2023', '01/06/2023', '01/09/2023', '01/13/2023', '01/14/2023', '01/17/2023', '01/20/2023', '01/23/2023', '01/27/2023', '01/31/2023', '02/03/2023', '02/06/2023', '02/09/2023', '02/11/2023', '02/14/2023', '02/17/2023', '02/21/2023']"
